,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Row,Col,Treatment,Concentration_uM,Cell_Death,Well,A,incubation_time,drug,Row_New,concentr,normalized_atp_1,plate,B,normalized_atp_2,C,normalized_atp_3,normalized_atp
166,166,166,187,H,19,Niclosamide,"3,39",Apoptosis,H19,,28h,apoptosis,8,3.39,,2,158976.0,0.6331253875373011,,,0.6331253875373011
167,167,167,188,H,20,Niclosamide,"1,695",Apoptosis,H20,,28h,apoptosis,8,1.695,,2,199832.0,0.79583529867624,,,0.79583529867624
168,168,168,196,I,4,RLS3,"0,03014",Ferroptosis,I04,,28h,ferroptosis,9,0.03014,,2,109840.0,0.4374401957974609,,,0.4374401957974609
169,169,169,205,I,13,RLS3,"0,06028",Ferroptosis,I13,,28h,ferroptosis,9,0.06028,,2,104688.0,0.4169222434235669,,,0.4169222434235669
170,170,170,206,I,14,RLS3,"0,03014",Ferroptosis,I14,,28h,ferroptosis,9,0.03014,,2,136744.0,0.5445859626195192,,,0.5445859626195192
171,171,171,210,I,18,RLS3,"0,06028",Ferroptosis,I18,,28h,ferroptosis,9,0.06028,,2,97968.0,0.3901596968489225,,,0.3901596968489225
172,172,172,211,I,19,RLS3,"0,03014",Ferroptosis,I19,,28h,ferroptosis,9,0.03014,,2,159016.0,0.6332846884097691,,,0.6332846884097691
173,173,173,217,J,1,DMSO,0,Healthy,J01,,28h,healthy,10,0.0,,2,192736.0,0.7675753239003954,,,0.7675753239003954
174,174,174,218,J,2,Untreated,0,Healthy,J02,,28h,healthy,10,0.0,,2,172688.0,0.6877337266193729,,,0.6877337266193729
175,175,175,221,J,5,ML162,"0,02393",Ferroptosis,J05,,28h,ferroptosis,10,0.02393,,2,117824.0,0.4692366499420979,,,0.4692366499420979
176,176,176,222,J,6,ML162,"0,011965",Ferroptosis,J06,,28h,ferroptosis,10,0.011965,,2,180584.0,0.7191797188445801,,,0.7191797188445801
177,177,177,230,J,14,ML162,"0,04786",Ferroptosis,J14,,28h,ferroptosis,10,0.04786,,2,90720.0,0.3612943787576989,,,0.3612943787576989
178,178,178,234,J,18,ML162,"0,09572",Ferroptosis,J18,,28h,ferroptosis,10,0.09572,,2,77768.0,0.3097127562525213,,,0.3097127562525213
179,179,179,235,J,19,ML162,"0,04786",Ferroptosis,J19,,28h,ferroptosis,10,0.04786,,2,134344.0,0.5350279102714319,,,0.5350279102714319
180,180,180,236,J,20,ML162,"0,02393",Ferroptosis,J20,,28h,ferroptosis,10,0.02393,,2,193936.0,0.772354350074439,,,0.772354350074439
181,181,181,245,K,5,ML210,"0,1176",Ferroptosis,K05,,28h,ferroptosis,11,0.1176,,2,113456.0,0.4518409946685791,,,0.4518409946685791
182,182,182,253,K,13,ML210,"0,4704",Ferroptosis,K13,,28h,ferroptosis,11,0.4704,,2,75952.0,0.3024804966424686,,,0.3024804966424686
183,183,183,254,K,14,ML210,"0,2352",Ferroptosis,K14,,28h,ferroptosis,11,0.2352,,2,85936.0,0.3422419944105117,,,0.3422419944105117
184,184,184,255,K,15,ML210,"0,1176",Ferroptosis,K15,,28h,ferroptosis,11,0.1176,,2,101560.0,0.4044649151965598,,,0.4044649151965598
185,185,185,259,K,19,ML210,"0,2352",Ferroptosis,K19,,28h,ferroptosis,11,0.2352,,2,86768.0,0.3455554525578486,,,0.3455554525578486
186,186,186,260,K,20,ML210,"0,1176",Ferroptosis,K20,,28h,ferroptosis,11,0.1176,,2,138456.0,0.5514040399611548,,,0.5514040399611548
187,187,187,261,K,21,ML210,"0,0588",Ferroptosis,K21,,28h,ferroptosis,11,0.0588,,2,172248.0,0.6859814170222237,,,0.6859814170222237
188,188,188,267,L,3,Erastin,"5,132",Ferroptosis,L03,,28h,ferroptosis,12,5.132,,2,155616.0,0.6197441142499789,,,0.6197441142499789
189,189,189,268,L,4,Erastin,"2,566",Ferroptosis,L04,,28h,ferroptosis,12,2.566,,2,187336.0,0.746069706117199,,,0.746069706117199
190,190,190,293,M,5,IKE,"0,349",Ferroptosis,M05,,28h,ferroptosis,13,0.349,,2,200272.0,0.7975876082733894,,,0.7975876082733894
191,191,191,294,M,6,IKE,"0,1745",Ferroptosis,M06,,28h,ferroptosis,13,0.1745,,2,196104.0,0.7809884573622111,,,0.7809884573622111
192,192,192,303,M,15,IKE,"0,349",Ferroptosis,M15,,28h,ferroptosis,13,0.349,,2,146416.0,0.583104913582311,,,0.583104913582311
193,193,193,307,M,19,IKE,"0,698",Ferroptosis,M19,,28h,ferroptosis,13,0.698,,2,96568.0,0.3845841663125383,,,0.3845841663125383
194,194,194,308,M,20,IKE,"0,349",Ferroptosis,M20,,28h,ferroptosis,13,0.349,,2,172176.0,0.6856946754517811,,,0.6856946754517811
195,195,195,317,N,5,FINO2,"1,071",Ferroptosis,N05,,28h,ferroptosis,14,1.071,,2,96352.0,0.3837239416012104,,,0.3837239416012104
196,196,196,318,N,6,FINO2,"0,5355",Ferroptosis,N06,,28h,ferroptosis,14,0.5355,,2,166640.0,0.663647434702193,,,0.663647434702193
197,197,197,327,N,15,FINO2,"1,071",Ferroptosis,N15,,28h,ferroptosis,14,1.071,,2,113152.0,0.4506303080378213,,,0.4506303080378213
198,198,198,328,N,16,FINO2,"0,5355",Ferroptosis,N16,,28h,ferroptosis,14,0.5355,,2,172360.0,0.6864274594651344,,,0.6864274594651344
199,199,199,332,N,20,FINO2,"1,071",Ferroptosis,N20,,28h,ferroptosis,14,1.071,,2,119872.0,0.4773928546124657,,,0.4773928546124657
200,200,200,333,N,21,FINO2,"0,5355",Ferroptosis,N21,,28h,ferroptosis,14,0.5355,,2,170408.0,0.6786535768886901,,,0.6786535768886901
201,201,201,334,N,22,FINO2,"0,26775",Ferroptosis,N22,,28h,ferroptosis,14,0.26775,,2,183984.0,0.7327202930043705,,,0.7327202930043705
202,202,202,340,O,4,FIN56,"0,1553",Ferroptosis,O04,,28h,ferroptosis,15,0.1553,,2,125992.0,0.5017658881000883,,,0.5017658881000883
203,203,203,341,O,5,FIN56,"0,07765",Ferroptosis,O05,,28h,ferroptosis,15,0.07765,,2,171680.0,0.6837193446331763,,,0.6837193446331763
204,204,204,349,O,13,FIN56,"0,3106",Ferroptosis,O13,,28h,ferroptosis,15,0.3106,,2,147128.0,0.5859404691122435,,,0.5859404691122435
205,205,205,350,O,14,FIN56,"0,1553",Ferroptosis,O14,,28h,ferroptosis,15,0.1553,,2,117792.0,0.4691092092441234,,,0.4691092092441234
206,206,206,351,O,15,FIN56,"0,07765",Ferroptosis,O15,,28h,ferroptosis,15,0.07765,,2,136152.0,0.5422283097069911,,,0.5422283097069911
207,207,207,352,O,16,FIN56,"0,038825",Ferroptosis,O16,,28h,ferroptosis,15,0.038825,,2,196880.0,0.7840788942880927,,,0.7840788942880927
208,208,208,354,O,18,FIN56,"0,3106",Ferroptosis,O18,,28h,ferroptosis,15,0.3106,,2,101336.0,0.4035728303107383,,,0.4035728303107383
209,209,209,355,O,19,FIN56,"0,1553",Ferroptosis,O19,,28h,ferroptosis,15,0.1553,,2,176936.0,0.7046514792754874,,,0.7046514792754874
210,210,210,356,O,20,FIN56,"0,07765",Ferroptosis,O20,,28h,ferroptosis,15,0.07765,,2,156784.0,0.624395699726048,,,0.624395699726048
211,211,211,357,O,21,FIN56,"0,038825",Ferroptosis,O21,,28h,ferroptosis,15,0.038825,,2,168280.0,0.670178770473386,,,0.670178770473386
212,212,212,359,O,23,DMSO,0,Healthy,O23,,28h,healthy,15,0.0,,2,188568.0,0.7509761729892172,,,0.7509761729892172
213,213,213,313,N,1,DMSO,0,Healthy,N01,,28h,healthy,14,0.0,,2,259640.0,1.034021963190575,,,1.034021963190575
214,214,214,32,B,8,DMSO,0,Apoptosis,B08,,28h,healthy,2,0.0,,2,240272.0,0.9568884807415108,,,0.9568884807415108
215,215,215,156,G,12,DMSO,0,Apoptosis,G12,,28h,healthy,7,0.0,,2,248936.0,0.9913930497181056,,,0.9913930497181056
216,216,216,241,K,1,DMSO,0,Healthy,K01,,28h,healthy,11,0.0,,2,251864.0,1.003053873582772,,,1.003053873582772
217,217,217,335,N,23,DMSO,0,Healthy,N23,,28h,healthy,14,0.0,,2,246688.0,0.9824403406853972,,,0.9824403406853972
218,218,218,287,L,23,DMSO,0,Healthy,L23,,28h,healthy,12,0.0,,2,267976.0,1.0672202650129314,,,1.0672202650129314
219,219,219,311,M,23,DMSO,0,Healthy,M23,,28h,healthy,13,0.0,,2,220416.0,0.8778115276483353,,,0.8778115276483353
220,220,220,178,H,10,DMSO,0,Apoptosis,H10,,28h,healthy,8,0.0,,2,254088.0,1.0119110020919997,,,1.0119110020919997
221,221,221,296,M,8,DMSO,0,Ferroptosis,M08,,28h,healthy,13,0.0,,2,252184.0,1.004328280562517,,,1.004328280562517
222,222,222,193,I,1,DMSO,0,Healthy,I01,,28h,healthy,9,0.0,,2,235280.0,0.9370077318574892,,,0.9370077318574892
223,223,223,132,F,12,DMSO,0,Apoptosis,F12,,28h,healthy,6,0.0,,2,249952.0,0.995439291878796,,,0.995439291878796
224,224,224,320,N,8,DMSO,0,Ferroptosis,N08,,28h,healthy,14,0.0,,2,227928.0,0.9077282314978484,,,0.9077282314978484
